instant,dteday,season,yr,mnth,temp,hum,registered,cnt
1,2011-01-01,Spring,0,Jan,0.344167,0.805833,654,985
2,2011-01-02,Spring,0,Jan,0.363478,0.696087,670,801
3,2011-01-03,Spring,0,Jan,0.196364,0.437273,1229,1349
4,2011-01-04,Spring,0,Jan,0.2,0.590435,1454,1562
5,2011-01-05,Spring,0,Jan,0.226957,0.436957,1518,1600
6,2011-01-06,Spring,0,Jan,0.204348,0.518261,1518,1606
7,2011-01-07,Spring,0,Jan,0.196522,0.498696,1362,1510
8,2011-01-08,Spring,0,Jan,0.165,0.535833,891,959
9,2011-01-09,Spring,0,Jan,0.138333,0.434167,768,822
10,2011-01-10,Spring,0,Jan,0.150833,0.482917,1280,1321
11,2011-01-11,Spring,0,Jan,0.169091,0.686364,1220,1263
12,2011-01-12,Spring,0,Jan,0.172727,0.599545,1137,1162
13,2011-01-13,Spring,0,Jan,0.165,0.470417,1368,1406
14,2011-01-14,Spring,0,Jan,0.16087,0.537826,1367,1421
15,2011-01-15,Spring,0,Jan,0.233333,0.49875,1026,1248
16,2011-01-16,Spring,0,Jan,0.231667,0.48375,953,1204
17,2011-01-17,Spring,0,Jan,0.175833,0.5375,883,1000
18,2011-01-18,Spring,0,Jan,0.216667,0.861667,674,683
19,2011-01-19,Spring,0,Jan,0.292174,0.741739,1572,1650
20,2011-01-20,Spring,0,Jan,0.261667,0.538333,1844,1927
21,2011-01-21,Spring,0,Jan,0.1775,0.457083,1468,1543
22,2011-01-22,Spring,0,Jan,0.0591304,0.4,888,981
23,2011-01-23,Spring,0,Jan,0.0965217,0.436522,836,986
24,2011-01-24,Spring,0,Jan,0.0973913,0.491739,1330,1416
25,2011-01-25,Spring,0,Jan,0.223478,0.616957,1799,1985
26,2011-01-26,Spring,0,Jan,0.2175,0.8625,472,506
27,2011-01-27,Spring,0,Jan,0.195,0.6875,416,431
28,2011-01-28,Spring,0,Jan,0.203478,0.793043,1129,1167
29,2011-01-29,Spring,0,Jan,0.196522,0.651739,975,1098
30,2011-01-30,Spring,0,Jan,0.216522,0.722174,956,1096
31,2011-01-31,Spring,0,Jan,0.180833,0.60375,1459,1501
32,2011-02-01,Spring,0,Feb,0.192174,0.829565,1313,1360
33,2011-02-02,Spring,0,Feb,0.26,0.775417,1454,1526
34,2011-02-03,Spring,0,Feb,0.186957,0.437826,1489,1550
35,2011-02-04,Spring,0,Feb,0.211304,0.585217,1620,1708
36,2011-02-05,Spring,0,Feb,0.233333,0.929167,905,1005
37,2011-02-06,Spring,0,Feb,0.285833,0.568333,1269,1623
38,2011-02-07,Spring,0,Feb,0.271667,0.738333,1592,1712
39,2011-02-08,Spring,0,Feb,0.220833,0.537917,1466,1530
40,2011-02-09,Spring,0,Feb,0.134783,0.494783,1552,1605
41,2011-02-10,Spring,0,Feb,0.144348,0.437391,1491,1538
42,2011-02-11,Spring,0,Feb,0.189091,0.506364,1597,1746
43,2011-02-12,Spring,0,Feb,0.2225,0.544167,1184,1472
44,2011-02-13,Spring,0,Feb,0.316522,0.457391,1192,1589
45,2011-02-14,Spring,0,Feb,0.415,0.375833,1705,1913
46,2011-02-15,Spring,0,Feb,0.266087,0.314348,1675,1815
47,2011-02-16,Spring,0,Feb,0.318261,0.423478,1897,2115
48,2011-02-17,Spring,0,Feb,0.435833,0.505,2216,2475
49,2011-02-18,Spring,0,Feb,0.521667,0.516667,2348,2927
50,2011-02-19,Spring,0,Feb,0.399167,0.187917,1103,1635
51,2011-02-20,Spring,0,Feb,0.285217,0.407826,1173,1812
52,2011-02-21,Spring,0,Feb,0.303333,0.605,912,1107
53,2011-02-22,Spring,0,Feb,0.182222,0.577778,1376,1450
54,2011-02-23,Spring,0,Feb,0.221739,0.423043,1778,1917
55,2011-02-24,Spring,0,Feb,0.295652,0.697391,1707,1807
56,2011-02-25,Spring,0,Feb,0.364348,0.712174,1341,1461
57,2011-02-26,Spring,0,Feb,0.2825,0.537917,1545,1969
58,2011-02-27,Spring,0,Feb,0.343478,0.68,1708,2402
59,2011-02-28,Spring,0,Feb,0.407273,0.876364,1365,1446
60,2011-03-01,Spring,0,Mar,0.266667,0.535,1714,1851
61,2011-03-02,Spring,0,Mar,0.335,0.449583,1903,2134
62,2011-03-03,Spring,0,Mar,0.198333,0.318333,1562,1685
63,2011-03-04,Spring,0,Mar,0.261667,0.610417,1730,1944
64,2011-03-05,Spring,0,Mar,0.384167,0.789167,1437,2077
65,2011-03-06,Spring,0,Mar,0.376522,0.948261,491,605
66,2011-03-07,Spring,0,Mar,0.261739,0.551304,1628,1872
67,2011-03-08,Spring,0,Mar,0.2925,0.420833,1817,2133
68,2011-03-09,Spring,0,Mar,0.295833,0.775417,1700,1891
69,2011-03-10,Spring,0,Mar,0.389091,0.0,577,623
70,2011-03-11,Spring,0,Mar,0.316522,0.649565,1730,1977
71,2011-03-12,Spring,0,Mar,0.329167,0.594583,1408,2132
72,2011-03-13,Spring,0,Mar,0.384348,0.527391,1435,2417
73,2011-03-14,Spring,0,Mar,0.325217,0.496957,1687,2046
74,2011-03-15,Spring,0,Mar,0.317391,0.655652,1767,2056
75,2011-03-16,Spring,0,Mar,0.365217,0.776522,1871,2192
76,2011-03-17,Spring,0,Mar,0.415,0.602917,2320,2744
77,2011-03-18,Spring,0,Mar,0.54,0.525217,2355,3239
78,2011-03-19,Spring,0,Mar,0.4725,0.379167,1693,3117
79,2011-03-20,Spring,0,Mar,0.3325,0.47375,1424,2471
80,2011-03-21,Summer,0,Mar,0.430435,0.737391,1676,2077
81,2011-03-22,Summer,0,Mar,0.441667,0.624583,2243,2703
82,2011-03-23,Summer,0,Mar,0.346957,0.839565,1918,2121
83,2011-03-24,Summer,0,Mar,0.285,0.805833,1699,1865
84,2011-03-25,Summer,0,Mar,0.264167,0.495,1910,2210
85,2011-03-26,Summer,0,Mar,0.265833,0.394167,1515,2496
86,2011-03-27,Summer,0,Mar,0.253043,0.493913,1221,1693
87,2011-03-28,Summer,0,Mar,0.264348,0.302174,1806,2028
88,2011-03-29,Summer,0,Mar,0.3025,0.314167,2108,2425
89,2011-03-30,Summer,0,Mar,0.3,0.646667,1368,1536
90,2011-03-31,Summer,0,Mar,0.268333,0.918333,1506,1685
91,2011-04-01,Summer,0,Apr,0.3,0.68625,1920,2227
92,2011-04-02,Summer,0,Apr,0.315,0.65375,1354,2252
93,2011-04-03,Summer,0,Apr,0.378333,0.48,1598,3249
94,2011-04-04,Summer,0,Apr,0.573333,0.42625,2381,3115
95,2011-04-05,Summer,0,Apr,0.414167,0.642083,1628,1795
96,2011-04-06,Summer,0,Apr,0.390833,0.470833,2395,2808
97,2011-04-07,Summer,0,Apr,0.4375,0.602917,2570,3141
98,2011-04-08,Summer,0,Apr,0.335833,0.83625,1299,1471
99,2011-04-09,Summer,0,Apr,0.3425,0.8775,1576,2455
100,2011-04-10,Summer,0,Apr,0.426667,0.8575,1707,2895
101,2011-04-11,Summer,0,Apr,0.595652,0.716956,2493,3348
102,2011-04-12,Summer,0,Apr,0.5025,0.739167,1777,2034
103,2011-04-13,Summer,0,Apr,0.4125,0.819167,1953,2162
104,2011-04-14,Summer,0,Apr,0.4675,0.540417,2738,3267
105,2011-04-15,Summer,0,Apr,0.446667,0.67125,2484,3126
106,2011-04-16,Summer,0,Apr,0.430833,0.888333,674,795
107,2011-04-17,Summer,0,Apr,0.456667,0.479583,2186,3744
108,2011-04-18,Summer,0,Apr,0.5125,0.5425,2760,3429
109,2011-04-19,Summer,0,Apr,0.505833,0.665833,2795,3204
110,2011-04-20,Summer,0,Apr,0.595,0.614167,3331,3944
111,2011-04-21,Summer,0,Apr,0.459167,0.407083,3444,4189
112,2011-04-22,Summer,0,Apr,0.336667,0.729583,1506,1683
113,2011-04-23,Summer,0,Apr,0.46,0.887917,2574,4036
114,2011-04-24,Summer,0,Apr,0.581667,0.810833,2481,4191
115,2011-04-25,Summer,0,Apr,0.606667,0.776667,3300,4073
116,2011-04-26,Summer,0,Apr,0.631667,0.729167,3722,4400
117,2011-04-27,Summer,0,Apr,0.62,0.835417,3325,3872
118,2011-04-28,Summer,0,Apr,0.6175,0.700833,3489,4058
119,2011-04-29,Summer,0,Apr,0.51,0.457083,3717,4595
120,2011-04-30,Summer,0,Apr,0.4725,0.503333,3347,5312
121,2011-05-01,Summer,0,May,0.451667,0.762083,2213,3351
122,2011-05-02,Summer,0,May,0.549167,0.73,3554,4401
123,2011-05-03,Summer,0,May,0.616667,0.697083,3848,4451
124,2011-05-04,Summer,0,May,0.414167,0.737083,2378,2633
125,2011-05-05,Summer,0,May,0.459167,0.444167,3819,4433
126,2011-05-06,Summer,0,May,0.479167,0.59,3714,4608
127,2011-05-07,Summer,0,May,0.52,0.54125,3102,4714
128,2011-05-08,Summer,0,May,0.528333,0.631667,2932,4333
129,2011-05-09,Summer,0,May,0.5325,0.58875,3698,4362
130,2011-05-10,Summer,0,May,0.5325,0.489167,4109,4803
131,2011-05-11,Summer,0,May,0.5425,0.632917,3632,4182
132,2011-05-12,Summer,0,May,0.535,0.7475,4169,4864
133,2011-05-13,Summer,0,May,0.5125,0.863333,3413,4105
134,2011-05-14,Summer,0,May,0.520833,0.9225,2507,3409
135,2011-05-15,Summer,0,May,0.5625,0.867083,2971,4553
136,2011-05-16,Summer,0,May,0.5775,0.787917,3185,3958
137,2011-05-17,Summer,0,May,0.561667,0.837917,3445,4123
138,2011-05-18,Summer,0,May,0.55,0.87,3319,3855
139,2011-05-19,Summer,0,May,0.530833,0.829583,3840,4575
140,2011-05-20,Summer,0,May,0.536667,0.719583,4008,4917
141,2011-05-21,Summer,0,May,0.6025,0.626667,3547,5805
142,2011-05-22,Summer,0,May,0.604167,0.749583,3084,4660
143,2011-05-23,Summer,0,May,0.631667,0.81,3438,4274
144,2011-05-24,Summer,0,May,0.66,0.740833,3833,4492
145,2011-05-25,Summer,0,May,0.660833,0.69625,4238,4978
146,2011-05-26,Summer,0,May,0.708333,0.6775,3919,4677
147,2011-05-27,Summer,0,May,0.681667,0.65375,3808,4679
148,2011-05-28,Summer,0,May,0.655833,0.729583,2757,4758
149,2011-05-29,Summer,0,May,0.6675,0.81875,2433,4788
150,2011-05-30,Summer,0,May,0.733333,0.685,2549,4098
151,2011-05-31,Summer,0,May,0.775,0.636667,3309,3982
152,2011-06-01,Summer,0,Jun,0.764167,0.677083,3461,3974
153,2011-06-02,Summer,0,Jun,0.715,0.305,4232,4968
154,2011-06-03,Summer,0,Jun,0.62,0.354167,4414,5312
155,2011-06-04,Summer,0,Jun,0.635,0.45625,3473,5342
156,2011-06-05,Summer,0,Jun,0.648333,0.6525,3221,4906
157,2011-06-06,Summer,0,Jun,0.678333,0.6,3875,4548
158,2011-06-07,Summer,0,Jun,0.7075,0.597917,4070,4833
159,2011-06-08,Summer,0,Jun,0.775833,0.622083,3725,4401
160,2011-06-09,Summer,0,Jun,0.808333,0.568333,3352,3915
161,2011-06-10,Summer,0,Jun,0.755,0.605,3771,4586
162,2011-06-11,Summer,0,Jun,0.725,0.654583,3237,4966
163,2011-06-12,Summer,0,Jun,0.6925,0.747917,2993,4460
164,2011-06-13,Summer,0,Jun,0.635,0.494583,4157,5020
165,2011-06-14,Summer,0,Jun,0.604167,0.507083,4164,4891
166,2011-06-15,Summer,0,Jun,0.626667,0.471667,4411,5180
167,2011-06-16,Summer,0,Jun,0.628333,0.688333,3222,3767
168,2011-06-17,Summer,0,Jun,0.649167,0.735833,3981,4844
169,2011-06-18,Summer,0,Jun,0.696667,0.670417,3312,5119
170,2011-06-19,Summer,0,Jun,0.699167,0.666667,3105,4744
171,2011-06-20,Summer,0,Jun,0.635,0.74625,3311,4010
172,2011-06-21,Fall,0,Jun,0.680833,0.770417,4061,4835
173,2011-06-22,Fall,0,Jun,0.733333,0.7075,3846,4507
174,2011-06-23,Fall,0,Jun,0.728333,0.703333,4044,4790
175,2011-06-24,Fall,0,Jun,0.724167,0.573333,4022,4991
176,2011-06-25,Fall,0,Jun,0.695,0.483333,3420,5202
177,2011-06-26,Fall,0,Jun,0.68,0.513333,3385,5305
178,2011-06-27,Fall,0,Jun,0.6825,0.658333,3854,4708
179,2011-06-28,Fall,0,Jun,0.744167,0.634167,3916,4648
180,2011-06-29,Fall,0,Jun,0.728333,0.497917,4377,5225
181,2011-06-30,Fall,0,Jun,0.696667,0.434167,4488,5515
182,2011-07-01,Fall,0,Jul,0.7225,0.39625,4116,5362
183,2011-07-02,Fall,0,Jul,0.738333,0.444583,2915,5119
184,2011-07-03,Fall,0,Jul,0.716667,0.6825,2367,4649
185,2011-07-04,Fall,0,Jul,0.726667,0.637917,2978,6043
186,2011-07-05,Fall,0,Jul,0.746667,0.590417,3634,4665
187,2011-07-06,Fall,0,Jul,0.72,0.743333,3845,4629
188,2011-07-07,Fall,0,Jul,0.75,0.65125,3838,4592
189,2011-07-08,Fall,0,Jul,0.709167,0.757917,3348,4040
190,2011-07-09,Fall,0,Jul,0.733333,0.609167,3348,5336
191,2011-07-10,Fall,0,Jul,0.7475,0.578333,3138,4881
192,2011-07-11,Fall,0,Jul,0.7625,0.635833,3363,4086
193,2011-07-12,Fall,0,Jul,0.794167,0.559167,3596,4258
194,2011-07-13,Fall,0,Jul,0.746667,0.631667,3594,4342
195,2011-07-14,Fall,0,Jul,0.680833,0.47625,4196,5084
196,2011-07-15,Fall,0,Jul,0.663333,0.59125,4220,5538
197,2011-07-16,Fall,0,Jul,0.686667,0.585,3505,5923
198,2011-07-17,Fall,0,Jul,0.719167,0.604167,3296,5302
199,2011-07-18,Fall,0,Jul,0.746667,0.65125,3617,4458
200,2011-07-19,Fall,0,Jul,0.776667,0.650417,3789,4541
201,2011-07-20,Fall,0,Jul,0.768333,0.707083,3688,4332
202,2011-07-21,Fall,0,Jul,0.815,0.69125,3152,3784
203,2011-07-22,Fall,0,Jul,0.848333,0.580417,2825,3387
204,2011-07-23,Fall,0,Jul,0.849167,0.5,2298,3285
205,2011-07-24,Fall,0,Jul,0.83,0.550833,2556,3606
206,2011-07-25,Fall,0,Jul,0.743333,0.757083,3272,3840
207,2011-07-26,Fall,0,Jul,0.771667,0.540833,3840,4590
208,2011-07-27,Fall,0,Jul,0.775,0.402917,3901,4656
209,2011-07-28,Fall,0,Jul,0.779167,0.583333,3784,4390
210,2011-07-29,Fall,0,Jul,0.838333,0.5425,3176,3846
211,2011-07-30,Fall,0,Jul,0.804167,0.465833,2916,4475
212,2011-07-31,Fall,0,Jul,0.805833,0.480833,2778,4302
213,2011-08-01,Fall,0,Aug,0.771667,0.550833,3537,4266
214,2011-08-02,Fall,0,Aug,0.783333,0.49125,4044,4845
215,2011-08-03,Fall,0,Aug,0.731667,0.6575,3107,3574
216,2011-08-04,Fall,0,Aug,0.71,0.7575,3777,4576
217,2011-08-05,Fall,0,Aug,0.710833,0.630833,3843,4866
218,2011-08-06,Fall,0,Aug,0.716667,0.755,2773,4294
219,2011-08-07,Fall,0,Aug,0.7425,0.752917,2487,3785
220,2011-08-08,Fall,0,Aug,0.765,0.592083,3480,4326
221,2011-08-09,Fall,0,Aug,0.775,0.570417,3695,4602
222,2011-08-10,Fall,0,Aug,0.766667,0.424167,3896,4780
223,2011-08-11,Fall,0,Aug,0.7175,0.42375,3980,4792
224,2011-08-12,Fall,0,Aug,0.708333,0.415,3854,4905
225,2011-08-13,Fall,0,Aug,0.685833,0.729583,2646,4150
226,2011-08-14,Fall,0,Aug,0.676667,0.8175,2482,3820
227,2011-08-15,Fall,0,Aug,0.665833,0.712083,3563,4338
228,2011-08-16,Fall,0,Aug,0.700833,0.578333,4004,4725
229,2011-08-17,Fall,0,Aug,0.723333,0.575417,4026,4694
230,2011-08-18,Fall,0,Aug,0.711667,0.654583,3166,3805
231,2011-08-19,Fall,0,Aug,0.685,0.722917,3356,4153
232,2011-08-20,Fall,0,Aug,0.6975,0.674167,3277,5191
233,2011-08-21,Fall,0,Aug,0.710833,0.77,2624,3873
234,2011-08-22,Fall,0,Aug,0.691667,0.47,3925,4758
235,2011-08-23,Fall,0,Aug,0.640833,0.455417,4614,5895
236,2011-08-24,Fall,0,Aug,0.673333,0.605,4181,5130
237,2011-08-25,Fall,0,Aug,0.684167,0.771667,3107,3542
238,2011-08-26,Fall,0,Aug,0.7,0.76125,3893,4661
239,2011-08-27,Fall,0,Aug,0.68,0.85,889,1115
240,2011-08-28,Fall,0,Aug,0.707059,0.561765,2919,4334
241,2011-08-29,Fall,0,Aug,0.636667,0.554583,3905,4634
242,2011-08-30,Fall,0,Aug,0.639167,0.548333,4429,5204
243,2011-08-31,Fall,0,Aug,0.656667,0.597917,4370,5058
244,2011-09-01,Fall,0,Sep,0.655,0.639167,4332,5115
245,2011-09-02,Fall,0,Sep,0.643333,0.727083,3852,4727
246,2011-09-03,Fall,0,Sep,0.669167,0.716667,2549,4484
247,2011-09-04,Fall,0,Sep,0.709167,0.742083,2419,4940
248,2011-09-05,Fall,0,Sep,0.673333,0.790417,2115,3351
249,2011-09-06,Fall,0,Sep,0.54,0.886957,2506,2710
250,2011-09-07,Fall,0,Sep,0.599167,0.917083,1878,1996
251,2011-09-08,Fall,0,Sep,0.633913,0.939565,1689,1842
252,2011-09-09,Fall,0,Sep,0.65,0.897917,3127,3544
253,2011-09-10,Fall,0,Sep,0.66,0.75375,3595,5345
254,2011-09-11,Fall,0,Sep,0.653333,0.71375,3413,5046
255,2011-09-12,Fall,0,Sep,0.644348,0.692174,4023,4713
256,2011-09-13,Fall,0,Sep,0.650833,0.7125,4062,4763
257,2011-09-14,Fall,0,Sep,0.673333,0.697083,4138,4785
258,2011-09-15,Fall,0,Sep,0.5775,0.709167,3231,3659
259,2011-09-16,Fall,0,Sep,0.469167,0.590417,4018,4760
260,2011-09-17,Fall,0,Sep,0.491667,0.718333,3077,4511
261,2011-09-18,Fall,0,Sep,0.5075,0.695,2921,4274
262,2011-09-19,Fall,0,Sep,0.549167,0.69,3848,4539
263,2011-09-20,Fall,0,Sep,0.561667,0.88125,3203,3641
264,2011-09-21,Fall,0,Sep,0.595,0.9,3813,4352
265,2011-09-22,Fall,0,Sep,0.628333,0.902083,4240,4795
266,2011-09-23,Winter,0,Sep,0.609167,0.9725,2137,2395
267,2011-09-24,Winter,0,Sep,0.606667,0.8625,3647,5423
268,2011-09-25,Winter,0,Sep,0.634167,0.845,3466,5010
269,2011-09-26,Winter,0,Sep,0.649167,0.848333,3946,4630
270,2011-09-27,Winter,0,Sep,0.636667,0.885417,3643,4120
271,2011-09-28,Winter,0,Sep,0.635,0.84875,3427,3907
272,2011-09-29,Winter,0,Sep,0.616667,0.699167,4186,4839
273,2011-09-30,Winter,0,Sep,0.564167,0.6475,4372,5202
274,2011-10-01,Winter,0,Oct,0.41,0.75375,1949,2429
275,2011-10-02,Winter,0,Oct,0.356667,0.791667,2302,2918
276,2011-10-03,Winter,0,Oct,0.384167,0.760833,3240,3570
277,2011-10-04,Winter,0,Oct,0.484167,0.71,3970,4456
278,2011-10-05,Winter,0,Oct,0.538333,0.647917,4267,4826
279,2011-10-06,Winter,0,Oct,0.494167,0.620833,4126,4765
280,2011-10-07,Winter,0,Oct,0.510833,0.684167,4036,4985
281,2011-10-08,Winter,0,Oct,0.521667,0.70125,3174,5409
282,2011-10-09,Winter,0,Oct,0.540833,0.7275,3114,5511
283,2011-10-10,Winter,0,Oct,0.570833,0.73375,3603,5117
284,2011-10-11,Winter,0,Oct,0.566667,0.80875,3896,4563
285,2011-10-12,Winter,0,Oct,0.543333,0.90625,2199,2416
286,2011-10-13,Winter,0,Oct,0.589167,0.896667,2623,2913
287,2011-10-14,Winter,0,Oct,0.550833,0.71625,3115,3644
288,2011-10-15,Winter,0,Oct,0.506667,0.483333,3318,5217
289,2011-10-16,Winter,0,Oct,0.511667,0.486667,3293,5041
290,2011-10-17,Winter,0,Oct,0.534167,0.579583,3857,4570
291,2011-10-18,Winter,0,Oct,0.5325,0.701667,4111,4748
292,2011-10-19,Winter,0,Oct,0.541739,0.895217,2170,2424
293,2011-10-20,Winter,0,Oct,0.475833,0.63625,3724,4195
294,2011-10-21,Winter,0,Oct,0.4275,0.574167,3628,4304
295,2011-10-22,Winter,0,Oct,0.4225,0.629167,2809,4308
296,2011-10-23,Winter,0,Oct,0.421667,0.74125,2762,4381
297,2011-10-24,Winter,0,Oct,0.463333,0.772083,3488,4187
298,2011-10-25,Winter,0,Oct,0.471667,0.622917,3992,4687
299,2011-10-26,Winter,0,Oct,0.484167,0.720417,3490,3894
300,2011-10-27,Winter,0,Oct,0.47,0.812917,2419,2659
301,2011-10-28,Winter,0,Oct,0.330833,0.585833,3291,3747
302,2011-10-29,Winter,0,Oct,0.254167,0.8825,570,627
303,2011-10-30,Winter,0,Oct,0.319167,0.62375,2446,3331
304,2011-10-31,Winter,0,Oct,0.34,0.703333,3307,3669
305,2011-11-01,Winter,0,Nov,0.400833,0.68375,3658,4068
306,2011-11-02,Winter,0,Nov,0.3775,0.71875,3816,4186
307,2011-11-03,Winter,0,Nov,0.408333,0.702083,3656,3974
308,2011-11-04,Winter,0,Nov,0.403333,0.6225,3576,4046
309,2011-11-05,Winter,0,Nov,0.326667,0.519167,2770,3926
310,2011-11-06,Winter,0,Nov,0.348333,0.734583,2697,3649
311,2011-11-07,Winter,0,Nov,0.395,0.75875,3662,4035
312,2011-11-08,Winter,0,Nov,0.408333,0.721667,3829,4205
313,2011-11-09,Winter,0,Nov,0.4,0.758333,3804,4109
314,2011-11-10,Winter,0,Nov,0.38,0.813333,2743,2933
315,2011-11-11,Winter,0,Nov,0.324167,0.44625,2928,3368
316,2011-11-12,Winter,0,Nov,0.356667,0.552917,2792,4067
317,2011-11-13,Winter,0,Nov,0.440833,0.458333,2713,3717
318,2011-11-14,Winter,0,Nov,0.53,0.587083,3891,4486
319,2011-11-15,Winter,0,Nov,0.53,0.68875,3746,4195
320,2011-11-16,Winter,0,Nov,0.456667,0.93,1672,1817
321,2011-11-17,Winter,0,Nov,0.341667,0.575833,2914,3053
322,2011-11-18,Winter,0,Nov,0.274167,0.41,3147,3392
323,2011-11-19,Winter,0,Nov,0.329167,0.502083,2720,3663
324,2011-11-20,Winter,0,Nov,0.463333,0.684583,2733,3520
325,2011-11-21,Winter,0,Nov,0.4475,0.91,2545,2765
326,2011-11-22,Winter,0,Nov,0.416667,0.9625,1538,1607
327,2011-11-23,Winter,0,Nov,0.440833,0.757917,2454,2566
328,2011-11-24,Winter,0,Nov,0.373333,0.549167,935,1495
329,2011-11-25,Winter,0,Nov,0.375,0.64375,1697,2792
330,2011-11-26,Winter,0,Nov,0.375833,0.681667,1819,3068
331,2011-11-27,Winter,0,Nov,0.459167,0.698333,2261,3071
332,2011-11-28,Winter,0,Nov,0.503478,0.743043,3614,3867
333,2011-11-29,Winter,0,Nov,0.458333,0.830833,2818,2914
334,2011-11-30,Winter,0,Nov,0.325,0.613333,3425,3613
335,2011-12-01,Winter,0,Dec,0.3125,0.524583,3545,3727
336,2011-12-02,Winter,0,Dec,0.314167,0.625833,3672,3940
337,2011-12-03,Winter,0,Dec,0.299167,0.612917,2908,3614
338,2011-12-04,Winter,0,Dec,0.330833,0.775833,2851,3485
339,2011-12-05,Winter,0,Dec,0.385833,0.827083,3578,3811
340,2011-12-06,Winter,0,Dec,0.4625,0.949583,2468,2594
341,2011-12-07,Winter,0,Dec,0.41,0.970417,655,705
342,2011-12-08,Winter,0,Dec,0.265833,0.58,3172,3322
343,2011-12-09,Winter,0,Dec,0.290833,0.695833,3359,3620
344,2011-12-10,Winter,0,Dec,0.275,0.5075,2688,3190
345,2011-12-11,Winter,0,Dec,0.220833,0.49,2366,2743
346,2011-12-12,Winter,0,Dec,0.238333,0.670833,3167,3310
347,2011-12-13,Winter,0,Dec,0.2825,0.59,3368,3523
348,2011-12-14,Winter,0,Dec,0.3175,0.66375,3562,3740
349,2011-12-15,Winter,0,Dec,0.4225,0.634167,3528,3709
350,2011-12-16,Winter,0,Dec,0.375,0.500417,3399,3577
351,2011-12-17,Winter,0,Dec,0.258333,0.560833,2464,2739
352,2011-12-18,Winter,0,Dec,0.238333,0.58625,2211,2431
353,2011-12-19,Winter,0,Dec,0.276667,0.6375,3143,3403
354,2011-12-20,Winter,0,Dec,0.385833,0.595417,3534,3750
355,2011-12-21,Spring,0,Dec,0.428333,0.858333,2553,2660
356,2011-12-22,Spring,0,Dec,0.423333,0.7575,2841,3068
357,2011-12-23,Spring,0,Dec,0.373333,0.68625,2046,2209
358,2011-12-24,Spring,0,Dec,0.3025,0.5425,856,1011
359,2011-12-25,Spring,0,Dec,0.274783,0.681304,451,754
360,2011-12-26,Spring,0,Dec,0.321739,0.506957,887,1317
361,2011-12-27,Spring,0,Dec,0.325,0.7625,1059,1162
362,2011-12-28,Spring,0,Dec,0.29913,0.503913,2047,2302
363,2011-12-29,Spring,0,Dec,0.248333,0.574167,2169,2423
364,2011-12-30,Spring,0,Dec,0.311667,0.636667,2508,2999
365,2011-12-31,Spring,0,Dec,0.41,0.615833,1820,2485
366,2012-01-01,Spring,1,Jan,0.37,0.6925,1608,2294
